Section,Variable Name,Label,Definition (Validated from Protocol),Additional Notes (Validated from Protocol),Optum CDM Implementation,R Code Implementation,Sync Status (OrigSpec/Protocol/Code),Sync Status Notes,Date Modified (Initials + Date),QC Reviewed (Initials + Date),Discrepancy Found in Original Program Spec
Section A: Study Time Period,INDEX_DATE,Index Date,"Date of the first medical claim for multiple myeloma during the identification period (1 Jan 2016 to 30 Jun 2025). Qualifying criteria: at least one inpatient medical claim with MM dx (ICD-9-CM=203.0x or ICD-10-CM=C90.0x) OR >=2 outpatient medical claims for MM (ICD-9-CM=203.x or ICD-10-CM=C90.x) in any position on claim, on separate days within 30/60/90 days.","Protocol Section 4.2, Inclusion Criterion 1: 'At least one inpatient medical claim with a diagnosis code for MM in any position (any ICD-9-CM=203.0x or ICD-10-CM code=C90.0x) or >=2 medical claims for MM in any position on the claim, on separate days within 90 days, during the identification period.' Patients with 2 claims 30 or 60 days apart also flagged. The index date is the date of the first medical claim for MM within the identification period. Protocol Section 4.2 also specifies broader dx codes (ICD-9=203.x, ICD-10=C90.x) for outpatient qualifying. Tab 42 contains MM dx codes.","T_MED_DIAGNOSIS: DIAG field matched against MM dx codes (ICD-9: 203.0x strict / 203.x broad; ICD-10: C90.0x strict / C90.x broad), ICD_FLAG for ICD version, FST_DT for service date. T_MEDICAL: CLMID join for claim-level attributes (POS, TOS_CD, CONF_ID). T_CONFINEMENT: CONF_ID + ADMIT_DATE + DISCH_DATE for inpatient validation (Approach 2). Inpatient identification uses Approach 1 (POS IN 21/51/61 or TOS_CD IN FAC_IP.ACUTE/REHSNF/PROF.INPVIS/SNF) OR Approach 2 (CONF_ID validated in T_CONFINEMENT).","new_code.R lines 1576-1782: Steps 07a-12. Step 07a (line 1577): med_claim_header extracts PATID, CLMID, CONF_ID, POS, TOS_CD from medical table. Step 07b (line 1600): confinement table extract for Approach 2. Step 08a (line 1622): mm_dx_events_all builds inpatient_flg using Approach 1 OR 2, mm_dx_strict_flg for 203.0x/C90.0x. Step 08b (line 1672): filters to ID period. Step 09 (line 1687): mm_inpatient_potential uses strict dx codes. Step 10-11 (lines 1700-1741): outpatient pairs with 30/60/90 day windows. Step 12 (line 1743): mm_qualifying combines all potential index dates, aggregates inpt_qual and outpt2_30/60/90 flags. cfg$id_start='2016-01-01', cfg$id_end='2025-06-30'.",YYY,"Spec, protocol, and code all agree on INDEX_DATE definition. Spec mentions Tab 42 for MM dx codes. Protocol Section 4.2 Criterion 1 matches. Code implements strict (203.0x/C90.0x) for inpatient and broad (203.x/C90.x) for outpatient, with 30/60/90 day windows, consistent with protocol note about flagging 30/60 day pairs.",,,No discrepancy found. Aligned with protocol.
Section A: Study Time Period,INDEX_YR,Index Year,"Year of the index date. Derived as year(INDEX_DATE).",Protocol Section 4.2: Implicit from index date definition. Used in age calculation (Criterion 2: 'Adults: >=18 years in index calendar year').,"Derived field. No direct CDM source table. Computed from INDEX_DATE (sourced from T_MED_DIAGNOSIS.FST_DT).","new_code.R line 2408: 'year(b.index_date) AS INDEX_YR' in Step 23_ELIG_COH_ALLFLAGS.",YYY,"All sources agree. Simple derivation from INDEX_DATE.",,,No discrepancy found. Aligned with protocol.
Section A: Study Time Period,AGE_DX,Age year of index,"Age at index date, calculated as year(index_date) - birth_year. Protocol specifies adults >=18 years in index calendar year.","Protocol Section 4.2, Inclusion Criterion 2: 'Adults: >=18 years in index calendar year.' Age is computed as INDEX_YR minus birth year, not exact date-based age.","T_MEMBER_CONT_ENROLLMENT: YRDOB field for birth year. GDR_CD for gender. Per Optum data dictionary, YRDOB is capped at 89 years.","new_code.R lines 1932-1948: Step 15_member_demo extracts PATID, GDR_CD, YRDOB from member_cont_enrollment (ranked by most recent ELIGEND). Line 2411: '(year(b.index_date) - b.YRDOB) AS AGE_INDEX_YR' in Step 23. Line 942: IE criteria filter 'AGE_INDEX_YR >= 18'. cfg$min_age=18.",YYY,"All sources agree on age calculation method and >=18 threshold.",,,No discrepancy found. Aligned with protocol.
Section A: Study Time Period,CE_b,Baseline Continuous Enrollment,"Binary flag. =1 if patient has six months of continuous enrollment with medical and pharmacy benefits before the index date; else =0. Patients with gaps in enrollment of <=30 days are considered continuously enrolled. The baseline period is fixed at six months (183 days) before the index date.","Protocol Section 4.2, Inclusion Criterion 3: 'At least six months of CE with medical and pharmacy benefits before the index date. The baseline period is fixed and is the six months before the index date. Patients with gaps in enrollment of <=30 days are considered to be continuously enrolled.' The purpose of the baseline is to identify patients previously diagnosed with MM; if treated in baseline, they are excluded.","T_MEMBER_ENROLLMENT: ELIGEFF, ELIGEND fields used to build enrollment spans. Enrollment spans constructed with <=30 day gap allowance. Baseline check: cov_start <= (index_date - 183) AND cov_end >= (index_date - 1).","new_code.R lines 1792-1927: Steps 13-14. Step 13 (line 1792): enrollment_spans built from member_enrollment with gap_days=30 allowance (line 1818: 'elig_eff <= date_add(max_end_so_far, gap_days + 1)'). Step 14 (line 1895): ce_flags computes CE_b. Line 1902: baseline_start = date_sub(index_date, 183). Line 1903: baseline_end = date_sub(index_date, 1). Line 1911: 'CASE WHEN s.cov_start <= i.baseline_start AND s.cov_end >= i.baseline_end THEN 1 ELSE 0 END AS covers_baseline'. Line 2414: 'coalesce(b.CE_b, 0) AS CE_b'.",YYY,"All three sources agree on 6-month baseline, 30-day gap allowance, and binary flag logic.",,,No discrepancy found. Aligned with protocol.
Section A: Study Time Period,CE_f,"Follow-up Continuous Enrollment of at least 1 day","Binary flag. =1 if at least 1 day of continuous enrollment starting on the index date; else =0. Patients with gaps in enrollment of <=30 days are considered continuously enrolled. Follow-up period ends on the earliest of death, health plan disenrollment, or the study period end.","Protocol Section 4.2, Inclusion Criterion 4: '>=1 day of CE starting on the index date until death or study period end. Patients with gaps in enrolment of <=30 days are considered to be continuously enrolled.'","T_MEMBER_ENROLLMENT: ELIGEFF, ELIGEND. Enrollment span must cover the index_date (cov_start <= index_date AND cov_end >= index_date).","new_code.R lines 1913-1921: Step 14_ce_flags. Line 1914: 'CASE WHEN s.cov_start <= i.index_date AND s.cov_end >= i.index_date THEN 1 ELSE 0 END AS has_1day_followup'. Line 1921: 'max(has_1day_followup) AS CE_f'. Line 2415: 'coalesce(b.CE_f, 0) AS CE_f'.",YYY,"All sources agree. CE_f requires enrollment covering the index date with 30-day gap allowance.",,,No discrepancy found. Aligned with protocol.
Section A: Study Time Period,CE_3mosf,"Follow-up Continuous Enrollment of at least 3 months","Binary flag. =1 if patient has >=3 months of CE starting on the index date with NO allowable gaps in enrollment, ending on the earliest of death, health plan disenrollment, or the study period end; else =0. For patients with an assigned date of death <3 months after the index date, the follow-up period ends at the assigned date of death and they are retained (CE_3mosf=1 if enrolled through death). No gaps in enrollment are allowable for this flag.","Protocol Section 4.2, Inclusion Criterion 4 sub-bullet: 'Patients with >=3 months of CE (or have an assigned date of death <3 months after the index date), without gaps in their enrolment, measured from index date will be flagged for consideration for sensitivity or secondary analyses.' This is a sensitivity flag, not a primary inclusion criterion.","T_MEMBER_ENROLLMENT: Raw ELIGEFF/ELIGEND records (NOT member_cont_enrollment which absorbs <30 day gaps). Strict enrollment spans built with NO gap allowance to detect true enrollment gaps.","new_code.R lines 1836-1886: Step 13b_enrollment_spans_strict builds strict spans from member_enrollment with NO gap allowance (line 1870: 'elig_eff <= date_add(max_end_so_far, 1)'). Lines 2384-2404: CE_3mosf computed in Step 23 with death-aware logic. Line 2390: required_3mos_end = least(date_add(index_date, 90), study_end, coalesce(DEATH_DT, study_end)). Line 2401: 'max(CASE WHEN cov_start <= index_date AND cov_end >= required_3mos_end THEN 1 ELSE 0 END) AS CE_3mosf'. Line 2416: 'coalesce(c3.CE_3mosf, 0) AS CE_3mosf'.",YYY,"All sources agree on no-gap requirement and death-awareness for CE_3mosf. Code correctly uses member_enrollment (raw) rather than member_cont_enrollment to detect true gaps.",,,No discrepancy found. Aligned with protocol.
Section A: Study Time Period,MM_FU_agents,"Evidence of treatment with agents for the purpose of treating MM during the follow-up period","Binary flag. =1 if evidence of an FDA-approved MM oncology therapy in claims during the follow-up period (from index date to ENDDATE); else =0. Identified via pharmacy claims (NDC) and medical claims (CPTs and HCPCS codes). Receipt of corticosteroids only does not count as evidence of MM therapy.","Protocol Section 4.2, Inclusion Criterion 5: 'Evidence of treatment with agents for the purpose of treating MM based on FDA-approval and NCCN guidelines during the follow-up period: Patients will be required to have evidence of an approved MM oncology therapy in claims during the follow-up period. These will be identified with pharmacy claims (NDC) and medical claims (CPTs and HCPCS) codes. Receipt of corticosteroids only will not be considered evidence of receiving an approved MM oncology therapy.' Tab 41 contains therapy code list.","T_MEDICAL: PROC_CD matched against HCPCS/CPT therapy codes, FST_DT for service date. T_RX: NDC field matched against NDC therapy codes, FILL_DT for fill date. Both bounded by study period and follow-up period (index_date through min(DEATH_DT, study_end)).","new_code.R lines 2107-2163: Steps 18-19. Step 18 (line 2110): therapy_events unions medical PROC_CD joins and RX NDC joins against mm_therapy_codes. Step 19 (line 2141): therapy_flags computes MM_THERAPY_FOLLOWUP. Line 2155: 'max(CASE WHEN t.event_dt >= q.index_date AND t.event_dt <= least(study_end, coalesce(d.DEATH_DT, study_end)) THEN 1 ELSE 0 END)'. Line 2423: 'coalesce(b.MM_THERAPY_FOLLOWUP, 0) AS MM_FU_agents'. Line 946: IE criteria 'MM_FU_agents = 1'.",YYY,"All sources agree. Code correctly bounds follow-up therapy by death date to prevent post-death claims.",,,No discrepancy found. Aligned with protocol.
Section A: Study Time Period,MM_bl_agents,"Evidence of MM oncology therapy in claims during the baseline period","Binary flag. =1 if >=1 medical or pharmacy claim for FDA-approved MM oncology therapy during the baseline period (6 months prior to index date); else =0. This is an exclusion criterion to ensure treatment exposure reflects incident therapy starts.","Protocol Section 4.2, Exclusion Criterion 1: '>=1 medical or pharmacy claim for an FDA-approved MM oncology therapy during the baseline period, to ensure that treatment exposure and LOT assignments reflect incident therapy starts at the index date and are not confounded by ongoing or recent prior MM treatments.' Tab 41 contains therapy codes.","T_MEDICAL: PROC_CD for HCPCS/CPT therapy codes, FST_DT between baseline_start and index_date - 1. T_RX: NDC for pharmacy therapy codes, FILL_DT between baseline_start and index_date - 1.","new_code.R lines 2141-2163: Step 19_therapy_flags. Line 2150: 'max(CASE WHEN t.event_dt BETWEEN date_sub(q.index_date, 183) AND date_sub(q.index_date, 1) THEN 1 ELSE 0 END) AS MM_THERAPY_BASELINE'. Line 2422: 'coalesce(b.MM_THERAPY_BASELINE, 0) AS MM_bl_agents'. Line 950: IE criteria 'MM_bl_agents = 0' (exclusion applied as no baseline therapy).",YYY,"All sources agree on baseline therapy exclusion logic. Code correctly excludes index_date from baseline period (baseline_end = index_date - 1).",,,No discrepancy found. Aligned with protocol.
Section A: Study Time Period,MM_baseline_diag,"Evidence of any MM during the baseline period","Binary flag. =1 if evidence of any MM (each of newly diagnosed and R/R MM) during the baseline period using >=1 non-diagnostic medical claim for MM (ICD-9-CM=203.0x or ICD-10-CM=C90.0x); else =0. This flag is used to help better identify smoldering patients.","Protocol Section 4.2, Exclusion discussion and Section 5.2 Limitations: 'Exclusion of patients with baseline MM may have excluded those with smoldering MM, which can be a precursor to active MM: a specific diagnosis code does not exist to differentiate smoldering from active MM.' Spec note from QC review (Onkar Kshirsagar): 'Definition says any evidence while notes say non-diagnostic claim. Also codes above have 203.0x etc. Keeping it same for consistency.' The non-diagnostic claim concept is explained in the Optum business context: a claim is non-diagnostic if it has at least one service line that is NOT a diagnostic/testing code.","T_MEDICAL: PROC_CD for service line procedures. T_MED_DIAGNOSIS: DIAG for MM dx codes. Non-diagnostic determination: claim-level logic where at least one service line on a claim with MM dx is NOT a diagnostic procedure code (per CL_DIAGNOSTIC_PROC code list). A diagnostic-only claim (e.g., lab test only) is NOT counted as evidence of active MM.","new_code.R lines 2026-2103: Steps 16-17. Step 16 (line 2034): claim_nondiagnostic identifies claims with ANY non-diagnostic service line. Step 17 (line ~2085): mm_baseline_nondx_flag checks for >=1 non-diagnostic MM claim in baseline period. Line 2424: 'coalesce(b.MM_BASELINE_NONDX, 0) AS MM_baseline_diag'. Line 962: IE criteria 'MM_baseline_diag = 0' (optional, default disabled due to diagnostic code list incompleteness causing 81% false exclusion rate).",NYY,"Spec: N - Definition column says 'any evidence of MM' but Additional Notes say 'non-diagnostic claim' - these contradict each other (flagged in QC review by Onkar Kshirsagar). Protocol: Y - Protocol discusses baseline MM evidence and smoldering identification. Code: Y - Code correctly implements non-diagnostic claim logic but defaults to disabled (apply_baseline_nondx_excl=FALSE).",,,Discrepancy found: The Definition column states 'Evidence of any MM' broadly while the Additional Notes specify 'non-diagnostic medical claim' specifically. The QC reviewer (Onkar Kshirsagar) flagged this inconsistency. The validated definition should specify 'non-diagnostic' per the Additional Notes and code implementation.
Section A: Study Time Period,MM_baseline_other,"Evidence of another cancer in the baseline period","Binary flag. =1 if evidence of another cancer in the baseline period; else =0. Requires >=2 ICD-9-CM or ICD-10-CM codes on separate days, within 30 days, for the same primary tumor type and/or metastatic cancer. Only the first of the 2 codes is required to occur inside the baseline period.","Protocol Section 4.2, Exclusion Criterion 2: 'Patients with either >=1 inpatient or >=2 outpatient ICD-9-CM or ICD-10-CM codes on separate days, within 30 days, for the same primary tumor type and/or metastatic cancer will be excluded (patients with >=2 outpatient claims on separate days within 60 or 90 days apart will also be flagged for consideration).' QC review note (Onkar Kshirsagar): 'Both claims have to be in baseline.' However, spec says only first of 2 codes must be in baseline period. Tab 44 contains other cancer codes.","T_MED_DIAGNOSIS: DIAG matched against other malignancy code list (Tab 44), ICD_FLAG for ICD version, FST_DT for service date. Paired diagnosis dates evaluated within 30-day window with first date required to be in baseline period.","new_code.R lines 2295-2339: Step 22_other_malig_flag. Lines 2316-2325: Builds distinct_dates then with_next (lead window) then pairs with diff_days. Lines 2330-2333: 'max(CASE WHEN p.diff_days <= 30 AND p.first_dt BETWEEN date_sub(q.index_date, 183) AND date_sub(q.index_date, 1) THEN 1 ELSE 0 END) AS OTHER_MALIGN_FLAG'. Line 2425: 'coalesce(b.OTHER_MALIGN_FLAG, 0) AS OTHER_MALIGN_FLAG'.",NYY,"Spec: N - Spec says only first of 2 codes must be in baseline, but QC reviewer noted both should be in baseline. Also protocol mentions inpatient (1 claim) vs outpatient (2 claims) distinction that spec omits. Protocol: Y - Protocol provides the authoritative definition with inpatient/outpatient distinction. Code: Y - Code implements 2 codes within 30 days with first_dt in baseline, matching the spec's stated rule (not the QC reviewer's correction).",,,"Discrepancy found: 1) Protocol specifies '>=1 inpatient or >=2 outpatient' distinction for other cancer that the spec omits. 2) QC reviewer (Onkar Kshirsagar) noted 'Both claims have to be in baseline' but the spec text says only the first of the 2 codes must be in the baseline period. Code follows the spec text (first_dt in baseline). The protocol also mentions 60/90 day flagging for consideration."
