"Section","Variable Name","Label","Definition (Validated from Protocol)","Additional Notes (Validated from Protocol)","Optum CDM Implementation","R Code Implementation","Sync Status (OrigSpec/Protocol/Code)","Sync Status Notes","Date Modified (Initials + Date)","QC Reviewed (Initials + Date)","Discrepancy Found in Original Program Spec"
"LOT1 Base End","LOT1_END_DT_TEMP","Temporary end date for LOT1 base period","The earliest nonmissing date among: LOT1_BASE_DISCON_DT (last MAP_END_DT for induction meds with sufficient gap to observation end), ENDDATE (earliest of study end or death), LOT1_BASE_1ST_ADD_MED_DT (day before first non-induction medication), and LOT1_TX_ENDDATE (day before LOT-ending SCT event). The code determines the end date using a priority-based CASE statement (SCT > MED_ADD > DISCONTINUATION > CENSORED) rather than a simple min() of all dates. The protocol requires that LOT1 ends at the earliest qualifying event. Note: LOT1_BASE_MAINT_END_DT_TEMP is listed in the original spec's min() but maintenance is not enabled and is intentionally out of scope in the current implementation.","Protocol Section 5.1.1 (LOT end rules 1-8): LOT1 base period ends at the earliest of: discontinuation of all induction medications (gap >= 90 days from OBS_END_DT), addition of a new non-induction medication, a LOT-ending SCT event, or end of observation (censoring at death/disenrollment/study end). The priority order is SCT > MED_ADD > DISCONTINUATION > CENSORED. The MAP algorithm (Section 5.1.1, Rule 2) defines run-out dates using 28-day assumed supply for medical claims. Priority order: SCT (Rule 3) > MED_ADD (Rule 2) > DISCONTINUATION (Rule 2) > CENSORED (Rules 5-7).","LOT1_BASE_END_DT derived from LOT1_BASE_DISCON_DT (max MAP_END_DT from T_MEDICAL PROC_CD/NDC and T_RX NDC for induction meds), LOT1_BASE_1ST_ADD_MED_DT (first MAP_START_DT from T_MEDICAL/T_RX for non-induction meds minus 1), LOT1_TX_ENDDATE (earliest LOT-ending SCT from T_MEDICAL procedure codes minus 1), and OBS_END_DT (LEAST of study_end from config, DEATH_DT from T_DOD YMDOD, disenrollment from T_MEMBER_CONT_ENROLLMENT ELIGEND).","lot_program.R Step S16 lines 4018-4028: CASE statement computes LOT1_BASE_END_DT with priority SCT > MED_ADD > DISCON > CENSORED. LOT1_BASE_DISCON_DT computed at Step S10 lines 3360-3382 (max MAP_END_DT with gap >= lot_discon_gap_days). LOT1_BASE_1ST_ADD_MED_DT at lines 3413-3441 (date_sub(first non-induction MAP_START_DT, 1)). LOT1_TX_ENDDATE at lines 3939-3949 (date_sub(least(ENDING_AUTO_DT, FIRST_ALLO_DT, FIRST_CART_DT), 1)). OBS_END_DT from new_code.R Step 23 lines ~2418-2421.","NYY","Spec: N - uses simple min() of 5 dates including LOT1_BASE_MAINT_END_DT_TEMP which is not yet defined; also garbled label text ('The end date for the 1date'). Protocol: Y - defines LOT1 end as earliest qualifying event with clear priority. Code: Y - implements priority-based CASE statement (SCT > MED_ADD > DISCON > CENSORED) which correctly reflects protocol priority; maintenance not yet integrated but logged as pending (line 4037).","CV 2026-04-02 (protocol revalidation)","Original spec uses min() of 5 dates including LOT1_BASE_MAINT_END_DT_TEMP, but the code uses a priority-based CASE statement (SCT > MED_ADD > DISCONTINUATION > CENSORED) rather than a simple minimum. The spec's label is garbled ('The end date for the 1date' should read 'The end date for the base period'). The inclusion of LOT1_BASE_MAINT_END_DT_TEMP in the min() is not applicable as maintenance is not enabled and is intentionally out of scope (confirmed by code comment at lot_program.R line 4037-4038)."
"LOT1 Base End","LOT1_END_DT_ORIG","Original calculated LOT1 end date (before HSCT extension)","A copy of the originally calculated LOT1 base period end date, preserved before any HSCT extension logic modifies LOT1_END_DT_TEMP. This allows tracking how much the LOT1 end date was extended if an HSCT occurred within the extension window.","Protocol: The protocol defines LOT1 end date determination but does not explicitly specify preserving the original date as a separate variable. This is an implementation artifact needed to support the HSCT 60-day extension logic where the original discontinuation date is compared against HSCT dates.","No direct Optum CDM table mapping. This is a derived intermediate variable created during LOT1_BASE_END processing to preserve the pre-HSCT-extension end date.","lot_program.R: No direct equivalent variable. The code computes LOT1_BASE_END_DT in a single CASE statement (lines 4018-4028) without a multi-step temporary approach. The HSCT extension logic described in the spec (extending LOT1 by 60 days to capture an HSCT) is handled differently in the code: SCT events are evaluated in the priority-based end reason logic at Step S16 (lines 4001-4017) where SCT takes highest priority, so if an SCT occurs before other end events, it directly sets the end date.","NYN","Spec: N - defines LOT1_END_DT_ORIG as a distinct variable for multi-step processing. Protocol: Y - protocol defines end date determination without specifying intermediate storage. Code: N - code does not create a separate LOT1_END_DT_ORIG variable; it computes the final end date directly in one step. The spec's multi-step approach (TEMP -> ORIG -> extend) differs from the code's single-pass approach.","CV 2026-04-02 (protocol revalidation)","Spec defines LOT1_END_DT_ORIG as '= LOT1_END_DT_TEMP' (a copy). The code does not implement this intermediate variable. Instead, the code computes LOT1_BASE_END_DT directly using a priority-based CASE statement at lot_program.R lines 4018-4028. The multi-step approach in the spec (calculate TEMP, save ORIG, then extend) is an implementation design choice that the code handles differently."
"LOT1 Base End","LOT1_END_REASON_TEMP","Temporary LOT1 base period end reason","The reason why LOT1 base period ended. Determined by matching LOT1_END_DT_TEMP against candidate end dates. Values: 1=DISCONTINUATION (LOT1_END_DT_TEMP matches LOT1_DISCON_DT), 2=NEW MED ADD (matches LOT1_BASE_1ST_ADD_MED_DT), 3=CENSOR (matches ENDDATE), 4=DEATH (matches DEATH_DT), 5=SCT_AUTO (matches LOT1_TX_ENDDATE with TX_ENDDATE_REASON=1), 6=SCT_ALLO (matches LOT1_TX_ENDDATE with TX_ENDDATE_REASON=2), 7=CART (matches LOT1_TX_ENDDATE with TX_ENDDATE_REASON=3). The code uses string-valued end reasons and a priority-based approach rather than numeric codes with date-matching.","Protocol Section 5.1.1 (LOT end rules 1-8): LOT1 ends for one of these reasons: (1) Discontinuation - all induction medications' MAP coverage ends with a sufficient gap (>= 90 days per cfg$lot_discon_gap_days) before observation end; (Rule 2) New medication addition - a medication not in the induction regimen is started; (Rules 5-7) Censoring - death/disenrollment/study end; (Rule 3) Unplanned SCT events - autologous SCT >180 days after previous, allogeneic always ends LOT, CAR-T starts new LOT. Protocol explicitly numbers LOT end events as Rules 1-8. Priority in code: SCT > MED_ADD > DISCONTINUATION > CENSORED.","End reason derived from matching the LOT1 end date against dates from: T_MEDICAL/T_RX (discontinuation via MAP_END_DT), T_MEDICAL/T_RX (new med via MAP_START_DT), T_DOD (death via YMDOD), T_MEDICAL (SCT via procedure codes in T_MED_PROCEDURE). ENDDATE from T_MEMBER_CONT_ENROLLMENT (disenrollment) and study_end config.","lot_program.R Step S16 lines 4001-4017: LOT1_BASE_END_REASON computed as CASE statement. Priority: (1) SCT - when LOT1_TX_ENDDATE IS NOT NULL and <= both LOT1_BASE_1ST_ADD_MED_DT and LOT1_BASE_DISCON_DT, maps TX_ENDDATE_REASON 1='SCT_AUTO', 2='SCT_ALLO', 3='SCT_CART'. (2) MED_ADD - when LOT1_BASE_1ST_ADD_MED_DT IS NOT NULL and <= LOT1_BASE_DISCON_DT. (3) DISCONTINUATION - when LOT1_BASE_DISCON_DT IS NOT NULL. (4) CENSORED - default. Note: DEATH is not a separate end reason in code; death is captured via OBS_END_DT which sets CENSORED.","NYY","Spec: N - uses numeric codes 1-7 with date-matching logic and includes DEATH (4) as a separate end reason distinct from CENSOR. Protocol: Y - defines end reasons consistent with code priority (SCT > MED_ADD > DISCONTINUATION > CENSORED). Code: Y - uses string end reasons ('SCT_AUTO', 'SCT_ALLO', 'SCT_CART', 'MED_ADD', 'DISCONTINUATION', 'CENSORED') with priority-based CASE; death is subsumed into CENSORED via OBS_END_DT.","CV 2026-04-02 (protocol revalidation)","Multiple discrepancies: (1) Spec uses numeric codes (1-7) while code uses descriptive strings ('DISCONTINUATION', 'MED_ADD', 'CENSORED', 'SCT_AUTO', 'SCT_ALLO', 'SCT_CART'). (2) Spec has DEATH as a separate end reason (code 4); code subsumes death into CENSORED since DEATH_DT is incorporated into OBS_END_DT/ENDDATE. (3) Spec determines end reason by matching LOT1_END_DT_TEMP against each candidate date; code uses explicit priority-based CASE (SCT > MED_ADD > DISCONTINUATION > CENSORED). (4) Spec's if/else chain checks LOT1_END_DT_TEMP against LOT1_DISCON_DT first, giving DISCONTINUATION highest priority among non-SCT reasons; code gives MED_ADD higher priority than DISCONTINUATION (when MED_ADD <= DISCON). (5) Spec includes LOT1_BASE_MAINT_END_DT_TEMP in the initial min() which could set end reason to 2 (NEW MED) - maintenance is not yet implemented."
"LOT1 Base End","LOT1_EXTEND_FLG","Flag: patient had HSCT within 60 days of LOT1 discontinuation","Flag (0/1) indicating the patient had an autologous HSCT occurring within 60 days of LOT1 ending due to discontinuation. Conditions per spec: LOT1_END_REASON_TEMP = 1 (DISCONTINUATION) AND (LOT1_HSCT_AUTO_TAND_FLG or LOT1_HSCT_AUTO_SING_FLG) AND LOT1_END_DT_TEMP <= LOT1_TX_AUTO_DT_1 <= LOT1_END_DT_TEMP + 60 AND (missing(LOT1_TX_ENDDATE) or LOT1_TX_AUTO_DT_1 <= ENDDATE). If all conditions met, the LOT1 end date is extended to include the HSCT. The code does NOT implement this variable; instead SCT events are evaluated directly in the end reason priority logic.","Protocol Section 5.1 (SCT) and Section 5.1.1 (Events that will not end LOT): Protocol states 'SCTs must be within 60 days after the end of the induction or maintenance regimen to be considered a continuation of the LOT.' (Section 5.1.1). Single and tandem SCTs are 'not unplanned SCTs and are considered a continuation of the line of therapy.' The code handles this by giving SCT events top priority in the end reason determination rather than using a separate extension flag.","LOT1_TX_AUTO_DT_1 derived from T_MEDICAL procedure codes identifying autologous SCT events. The 60-day window logic is an analytical construct comparing dates. In the code implementation, SCT takes priority over DISCONTINUATION in the CASE statement, effectively achieving the same clinical intent without a separate extension flag.","lot_program.R: LOT1_EXTEND_FLG is NOT directly implemented. The code's approach at Step S16 (lines 4001-4017) gives SCT highest priority: if LOT1_TX_ENDDATE (SCT end minus 1 day) occurs at or before DISCON_DT and ADD_MED_DT, then end reason = SCT_AUTO/SCT_ALLO/SCT_CART. The SCT dates are computed at Step S15 (lines 3897-3983) with 14-day windowing (cfg$sct_auto_window_days=13), 60-day gap (cfg$sct_auto_gap_days=60), and 180-day tandem (cfg$sct_tandem_days=180). The conditioning period concept is implicitly handled by the SCT date processing at lines 3620-3793.","NNY","Spec: N - defines LOT1_EXTEND_FLG as explicit 60-day extension from discontinuation. Protocol: N - protocol describes extending LOT1 for HSCT during conditioning but the code implements this differently. Code: Y - handles HSCT-during-conditioning via SCT priority in end reason CASE statement rather than a separate extension flag. The clinical intent is preserved but the implementation architecture differs significantly.","CV 2026-04-02 (protocol revalidation)","Spec defines LOT1_EXTEND_FLG as a multi-step process: (1) check if LOT1 ended due to discontinuation, (2) check if HSCT occurred within 60 days, (3) extend LOT1 end date to include HSCT. The code does NOT implement this variable. Instead, the code gives SCT events highest priority in the LOT1_BASE_END_REASON CASE statement (lot_program.R lines 4001-4011), so if an SCT event occurs before discontinuation, it directly sets the end reason to SCT_AUTO/SCT_ALLO/SCT_CART. The 60-day extension concept from the spec is architecturally different from the code's priority-based approach. The code also logs that maintenance integration is pending (line 4037-4038)."
"LOT1 Base End","LOT1_EXTEND_LENGTH","Days between discontinuation and HSCT extension","The number of days between the conditioning period's discontinuation date and an HSCT that occurred at least within the extension window. Per spec: if LOT1_EXTEND_FLG then = LOT1_END_DT_TEMP - LOT1_END_DT_ORIG. This measures how much the LOT1 end date was pushed out to accommodate the HSCT. The code does not implement this variable.","Protocol Section 5.1.1 (Events that will not end LOT): Related to the HSCT conditioning period concept. The protocol describes the interval between treatment discontinuation and transplant as the conditioning period. This variable quantifies that interval. Not directly specified as a named protocol variable but implied by the HSCT extension logic.","No direct Optum CDM table mapping. Derived from the difference between the extended LOT1 end date and the original (pre-extension) end date.","lot_program.R: NOT IMPLEMENTED. The code does not compute LOT1_EXTEND_LENGTH because it does not use the multi-step TEMP/ORIG extension approach. The code computes LOT1_BASE_END_DT directly (lines 4018-4028). If the equivalent metric is needed, it could be derived as datediff(LOT1_TX_AUTO_DT_1 or _DT_2, LOT1_BASE_DISCON_DT) from the lot1_base_end view.","NNY","Spec: N - defines variable as LOT1_END_DT_TEMP - LOT1_END_DT_ORIG. Protocol: N - does not explicitly name this metric. Code: Y - does not implement this variable (the code's architecture does not require it since SCT priority replaces the extension concept).","CV 2026-04-02 (protocol revalidation)","Spec defines LOT1_EXTEND_LENGTH = LOT1_END_DT_TEMP - LOT1_END_DT_ORIG. This variable is not implemented in the R code because the code does not use the multi-step extension approach. The code's priority-based CASE statement makes this variable unnecessary in the current implementation."
"LOT1 Base End","LOT1_END_REASON_SWITCH","Updated base period end reason after HSCT extension","The base period end reason updated after HSCT extension and same-class switching considerations. Per spec: same values as LOT1_END_REASON_TEMP (1=DISCONTINUATION through 7=CART). If LOT1_EXTEND_FLG then the end reason may change to reflect HSCT-based ending. Otherwise leave unchanged from LOT1_END_REASON_TEMP. The code handles this in a single step via the priority CASE statement.","Protocol Section 5.1.1 (LOT end rules): After HSCT evaluation, if the LOT1 is extended to include an HSCT, the end reason should reflect whether the patient received maintenance after HSCT or if the LOT ended at the HSCT. The protocol does not explicitly define a 'SWITCH' concept for end reasons; this appears to be a spec-level implementation detail.","No additional Optum CDM tables beyond those used for LOT1_END_REASON_TEMP. The 'switch' logic is purely analytical.","lot_program.R: NOT IMPLEMENTED as a separate variable. The code's LOT1_BASE_END_REASON (Step S16 lines 4001-4017) is the final end reason computed in a single pass. There is no intermediate 'SWITCH' step. The end reason directly accounts for SCT priority. The maintenance-related updates described in the spec (where end reason changes based on maintenance after HSCT) are not yet implemented (line 4037-4038).","NNY","Spec: N - defines a multi-step update process for end reason. Protocol: N - does not define a 'switch' concept explicitly. Code: Y - computes final end reason in single CASE statement without intermediate switch step.","CV 2026-04-02 (protocol revalidation)","Spec defines LOT1_END_REASON_SWITCH as an updated version of LOT1_END_REASON_TEMP after HSCT extension logic. The code does not implement this as a separate variable. The code's single-pass LOT1_BASE_END_REASON (lot_program.R lines 4001-4017) serves as the final end reason. The spec's multi-step approach (TEMP -> extend -> SWITCH) is collapsed into one computation in the code."
"LOT1 Base End","SWITCH_FLG","Flag: patient had same-class medication during LOT1 BASE","Flag (0/1) indicating the patient had a same-class medication during LOT1 BASE period. Per spec: if LOT1_SAME_CLASS_1ST_DT <= LOT1_END_DT_TEMP then = 1, else = 0. This identifies patients who switched to a different medication within the same drug class during their induction therapy.","Protocol: Same-class switching is referenced in the context of LOT definition rules. When a patient switches from one medication to another within the same class (e.g., switching between proteasome inhibitors), this may or may not constitute a new line of therapy depending on the protocol rules. The protocol's treatment of same-class switches is relevant to determining whether a medication change ends LOT1 or is considered a permissible substitution.","Same-class identification would use MED_CLASS from the CL_MMA_ROLLUP codelist joined against T_MEDICAL/T_RX claims. MED_CLASS values include PROTINHIB, IMMUNOMOD, MONOCLONAL, ALKYLATOR, etc.","lot_program.R: SWITCH_FLG is NOT IMPLEMENTED. The code does track LOT1_CLASS_* flags (e.g., LOT1_CLASS_PROTINHIB, LOT1_CLASS_IMMUNOMOD) via med_summary at Step S10 (lines 3389-3390) to identify which drug classes are in the induction regimen. Permissible substitutions are handled at lines 3346-3354 (base_meds CTE includes permissible_subs). However, there is no explicit SWITCH_FLG or LOT1_SAME_CLASS_1ST_DT variable computed. LOT1_SAME_CLASS_1ST_DT is not defined in the code.","NNY","Spec: N - defines SWITCH_FLG based on LOT1_SAME_CLASS_1ST_DT which is not found in the code. Protocol: N - references same-class switching conceptually but does not define a specific flag variable. Code: Y - does not implement SWITCH_FLG; handles same-class via permissible_subs (lines 3346-3354) which treats certain within-class switches as part of the same LOT.","CV 2026-04-02 (protocol revalidation)","Spec defines SWITCH_FLG = 1 if LOT1_SAME_CLASS_1ST_DT <= LOT1_END_DT_TEMP. Neither LOT1_SAME_CLASS_1ST_DT nor SWITCH_FLG are implemented in the R code. The code handles same-class medication changes through the permissible substitutions mechanism (lot_program.R lines 3346-3354) rather than a separate flag. The spec's SWITCH_FLG concept is not present in the current codebase."
"LOT1 Base End","LOT1_HSCT_AUTO_SING_FLG","Flag: base period had single valid autologous HSCT","Flag (0/1) indicating the patient had a single valid autologous HSCT (not part of a valid tandem). Set to 1 when AUTO_DT_1 exists but the patient does NOT have a valid tandem (either no AUTO_DT_2, or AUTO_DT_2 is more than 180 days from AUTO_DT_1, or there is an ALLO between them). Per spec: updated based on whether LOT1 base ends before HSCT date (if LOT1_END_DT_TEMP < LOT1_TX_AUTO_DT_1 then set to 0).","Protocol Section 5.1 (SCT) and Section 5.1.1 (Events that will not end LOT): Autologous SCT identification uses a 14-day claim windowing algorithm (operationalized as >1 procedure code for an SCT per Section 5.1), requiring at least 60 days between distinct AUTO events. A single AUTO is one that is not part of a valid tandem pair. The protocol specifies that AUTO SCT claims within 14 days are grouped together, and events must be at least 60 days apart to be considered separate transplants.","Autologous HSCT identified from T_MEDICAL procedure codes (PROC_CD, BILL_PROC_CD) matching SCT codelist entries for AUTO type. Claims grouped by 14-day windows from T_MEDICAL FST_DT. Gap validation (60 days) and tandem detection (180 days) applied to grouped dates.","lot_program.R Step S15 lines 3911-3917: LOT1_SCT_AUTO_SING_FLG = CASE WHEN AUTO_DT_1 IS NOT NULL AND NOT (valid tandem conditions) THEN 1 ELSE 0. Valid tandem = AUTO_DT_2 IS NOT NULL AND datediff(AUTO_DT_2, AUTO_DT_1)+1 <= 180 AND n_allo_between = 0. AUTO dates computed via 14-day windowing at Step S13 (lines 3620-3793) with cfg$sct_auto_window_days=13, cfg$sct_auto_gap_days=60.","NYY","Spec: N - includes additional logic to reset flag to 0 if LOT1_END_DT_TEMP < LOT1_TX_AUTO_DT_1 (HSCT occurred after LOT1 ended). Protocol: Y - defines single AUTO HSCT criteria. Code: Y - computes flag based on AUTO dates and tandem validation but does not reset to 0 based on LOT1_END_DT_TEMP; instead, the SCT priority logic in Step S16 handles this implicitly.","CV 2026-04-02 (protocol revalidation)","Spec includes logic to set LOT1_HSCT_AUTO_SING_FLG to 0 if LOT1_END_DT_TEMP < LOT1_TX_AUTO_DT_1 (i.e., the HSCT occurred after the LOT ended). The code at lot_program.R lines 3911-3917 does not include this temporal filter - the flag is set purely based on AUTO date existence and tandem validation. However, in the code's Step S16 end reason logic (lines 4001-4011), SCT events are only used if LOT1_TX_ENDDATE <= other end dates, effectively achieving the same clinical filtering."
"LOT1 Base End","LOT1_HSCT_AUTO_TAND_FLG","Flag: base period had tandem valid autologous HSCT","Flag (0/1) indicating the patient had a valid tandem autologous HSCT. Set to 1 when two AUTO transplants occur within 180 days of each other with no allogeneic (ALLO) transplant between them. Per spec: updated based on whether LOT1 base ends before HSCT date (if LOT1_END_DT_TEMP < LOT1_TX_AUTO_DT_1 then set to 0).","Protocol Section 5.1 (Planned Tandem SCT): Protocol: 'Patients will be classified as having a planned tandem SCT if they receive at least two autologous SCTs >60 to <180 days apart.' An autologous-to-allogeneic sequence is NOT considered planned. Tandem SCTs are 'considered planned and a continuation of the line of therapy' (Section 5.1.1). The first AUTO sets AUTO_DT_1, the second sets AUTO_DT_2. For tandem patients, a 3rd AUTO would end the LOT; for single AUTO patients, a 2nd AUTO ends the LOT.","Tandem detection uses T_MEDICAL procedure codes for both AUTO events. The 180-day window is applied to grouped AUTO dates (after 14-day windowing and 60-day gap validation). ALLO events between AUTO_DT_1 and AUTO_DT_2 checked via T_MEDICAL.","lot_program.R Step S15 lines 3904-3909: LOT1_SCT_AUTO_TAND_FLG = CASE WHEN AUTO_DT_2 IS NOT NULL AND datediff(AUTO_DT_2, AUTO_DT_1)+1 <= 180 AND coalesce(n_allo_between, 0) = 0 THEN 1 ELSE 0. AUTO dates from Step S13 14-day windowing (lines 3620-3793). ALLO-between check at lines 3886-3896.","NYY","Spec: N - includes reset logic if LOT1_END_DT_TEMP < LOT1_TX_AUTO_DT_1. Protocol: Y - defines tandem as 2 AUTO within 180 days with no ALLO between. Code: Y - implements tandem flag matching protocol definition; temporal filtering handled implicitly by Step S16 priority logic.","CV 2026-04-02 (protocol revalidation)","Spec includes logic to reset LOT1_HSCT_AUTO_TAND_FLG to 0 if LOT1_END_DT_TEMP < LOT1_TX_AUTO_DT_1. The code (lot_program.R lines 3904-3909) does not include this reset. Similar to SING_FLG, the temporal relationship is handled by Step S16's SCT priority logic rather than modifying the flag itself."
"LOT1 Base End","LOT1_TX_AUTO_MAX_DT","Latest date of patient's valid HSCT","The latest date of a patient's valid autologous HSCT. Per spec: if LOT1_HSCT_AUTO_TAND_FLG then = LOT1_TX_AUTO_DT_2; else if LOT1_HSCT_AUTO_SING_FLG then = LOT1_TX_AUTO_DT_1. This represents the most recent valid AUTO transplant date for the patient.","Protocol Section 5.1 (Planned Tandem SCT): The latest AUTO date is relevant for determining the LOT-ending SCT event. For tandem patients, the 2nd AUTO is the latest valid AUTO (the 3rd AUTO, if it exists, would end the LOT). For single AUTO patients, the 1st AUTO is the latest (the 2nd would end the LOT).","Derived from T_MEDICAL procedure code dates for autologous HSCT, after 14-day windowing and 60-day gap validation.","lot_program.R: LOT1_TX_AUTO_MAX_DT is NOT explicitly named in the code. However, the equivalent logic exists: AUTO_DT_1 and AUTO_DT_2 are available from auto_pivot CTE (Step S15 lines 3901-3902). The ENDING_AUTO_DT (lines 3920-3928) identifies which AUTO ends the LOT: for tandem = AUTO_DT_3, for single = AUTO_DT_2. The 'max valid' AUTO concept is implicit: tandem patients' latest valid = AUTO_DT_2, single patients' latest valid = AUTO_DT_1.","NYY","Spec: N - defines explicit LOT1_TX_AUTO_MAX_DT variable. Protocol: Y - defines which AUTO date is the latest valid one. Code: Y - has equivalent data (AUTO_DT_1, AUTO_DT_2) but does not create a named LOT1_TX_AUTO_MAX_DT variable.","CV 2026-04-02 (protocol revalidation)","Spec defines LOT1_TX_AUTO_MAX_DT as a named variable. The code does not create this specific variable but has the underlying data (AUTO_DT_1, AUTO_DT_2 at lot_program.R lines 3901-3902). The max valid AUTO date can be derived from the existing variables."
